scale,chain_limit,stop_rule,source,shadow_count,true_in_chain_count,max_true_chain_position,top1_correct,top1_recall,audit_failed_after_stop_rule,miss_true_not_in_chain,miss_wrong_chain_node_selected
1000000000000000,8,chain_fallback_exact_first_prime_in_chain,chain_fallback,141,141,7,141,1.0,0,0,0
1000000000000000,10,stop_rule_1_first_chain_node,PGS_probe,141,141,7,76,0.5390070921985816,65,0,65
1000000000000000,10,stop_rule_2_successor_gap_exceeds_prior_median,PGS_probe,141,141,7,47,0.3333333333333333,94,0,94
1000000000000000,10,stop_rule_3_low_exact_boundary_delta,PGS_probe,141,141,7,76,0.5390070921985816,65,0,65
1000000000000000,10,stop_rule_4_post_visible_open_density_drop,PGS_probe,141,141,7,46,0.3262411347517731,95,0,95
1000000000000000,10,stop_rule_5_next_chain_node_outside_R64,PGS_probe,141,141,7,18,0.1276595744680851,123,0,123
1000000000000000,10,stop_rule_6_best_ranker_b,PGS_probe,141,141,7,76,0.5390070921985816,65,0,65
1000000000000000,10,stop_rule_7_best_ranker_c,PGS_probe,141,141,7,11,0.07801418439716312,130,0,130
1000000000000000,10,stop_rule_8_after_final_semiprime_gt_horizon_audit_only,audit_assisted_probe,141,141,7,141,1.0,0,0,0
1000000000000000,10,chain_fallback_exact_first_prime_in_chain,chain_fallback,141,141,7,141,1.0,0,0,0
1000000000000000,12,stop_rule_1_first_chain_node,PGS_probe,141,141,7,76,0.5390070921985816,65,0,65
1000000000000000,12,stop_rule_2_successor_gap_exceeds_prior_median,PGS_probe,141,141,7,47,0.3333333333333333,94,0,94
1000000000000000,12,stop_rule_3_low_exact_boundary_delta,PGS_probe,141,141,7,76,0.5390070921985816,65,0,65
1000000000000000,12,stop_rule_4_post_visible_open_density_drop,PGS_probe,141,141,7,45,0.3191489361702128,96,0,96
1000000000000000,12,stop_rule_5_next_chain_node_outside_R64,PGS_probe,141,141,7,18,0.1276595744680851,123,0,123
1000000000000000,12,stop_rule_6_best_ranker_b,PGS_probe,141,141,7,76,0.5390070921985816,65,0,65
1000000000000000,12,stop_rule_7_best_ranker_c,PGS_probe,141,141,7,11,0.07801418439716312,130,0,130
1000000000000000,12,stop_rule_8_after_final_semiprime_gt_horizon_audit_only,audit_assisted_probe,141,141,7,141,1.0,0,0,0
1000000000000000,12,chain_fallback_exact_first_prime_in_chain,chain_fallback,141,141,7,141,1.0,0,0,0
1000000000000000000,4,stop_rule_1_first_chain_node,PGS_probe,145,129,4,69,0.47586206896551725,76,16,60
1000000000000000000,4,stop_rule_2_successor_gap_exceeds_prior_median,PGS_probe,145,129,4,54,0.3724137931034483,91,16,75
1000000000000000000,4,stop_rule_3_low_exact_boundary_delta,PGS_probe,145,129,4,69,0.47586206896551725,76,16,60
1000000000000000000,4,stop_rule_4_post_visible_open_density_drop,PGS_probe,145,129,4,55,0.3793103448275862,90,16,74
1000000000000000000,4,stop_rule_5_next_chain_node_outside_R64,PGS_probe,145,129,4,22,0.15172413793103448,123,16,107
1000000000000000000,4,stop_rule_6_best_ranker_b,PGS_probe,145,129,4,69,0.47586206896551725,76,16,60
1000000000000000000,4,stop_rule_7_best_ranker_c,PGS_probe,145,129,4,22,0.15172413793103448,123,16,107
1000000000000000000,4,stop_rule_8_after_final_semiprime_gt_horizon_audit_only,audit_assisted_probe,145,129,4,129,0.8896551724137931,16,16,0
1000000000000000000,4,chain_fallback_exact_first_prime_in_chain,chain_fallback,145,129,4,129,0.8896551724137931,16,16,0
1000000000000000000,6,stop_rule_1_first_chain_node,PGS_probe,145,139,6,69,0.47586206896551725,76,6,70
1000000000000000000,6,stop_rule_2_successor_gap_exceeds_prior_median,PGS_probe,145,139,6,51,0.35172413793103446,94,6,88
1000000000000000000,6,stop_rule_3_low_exact_boundary_delta,PGS_probe,145,139,6,69,0.47586206896551725,76,6,70
1000000000000000000,6,stop_rule_4_post_visible_open_density_drop,PGS_probe,145,139,6,52,0.3586206896551724,93,6,87
1000000000000000000,6,stop_rule_5_next_chain_node_outside_R64,PGS_probe,145,139,6,16,0.1103448275862069,129,6,123
1000000000000000000,6,stop_rule_6_best_ranker_b,PGS_probe,145,139,6,69,0.47586206896551725,76,6,70
1000000000000000000,6,stop_rule_7_best_ranker_c,PGS_probe,145,139,6,17,0.11724137931034483,128,6,122
1000000000000000000,6,stop_rule_8_after_final_semiprime_gt_horizon_audit_only,audit_assisted_probe,145,139,6,139,0.9586206896551724,6,6,0
1000000000000000000,6,chain_fallback_exact_first_prime_in_chain,chain_fallback,145,139,6,139,0.9586206896551724,6,6,0
1000000000000000000,8,stop_rule_1_first_chain_node,PGS_probe,145,145,8,69,0.47586206896551725,76,0,76
1000000000000000000,8,stop_rule_2_successor_gap_exceeds_prior_median,PGS_probe,145,145,8,51,0.35172413793103446,94,0,94
1000000000000000000,8,stop_rule_3_low_exact_boundary_delta,PGS_probe,145,145,8,69,0.47586206896551725,76,0,76
1000000000000000000,8,stop_rule_4_post_visible_open_density_drop,PGS_probe,145,145,8,52,0.3586206896551724,93,0,93
1000000000000000000,8,stop_rule_5_next_chain_node_outside_R64,PGS_probe,145,145,8,17,0.11724137931034483,128,0,128
1000000000000000000,8,stop_rule_6_best_ranker_b,PGS_probe,145,145,8,69,0.47586206896551725,76,0,76
1000000000000000000,8,stop_rule_7_best_ranker_c,PGS_probe,145,145,8,14,0.09655172413793103,131,0,131
1000000000000000000,8,stop_rule_8_after_final_semiprime_gt_horizon_audit_only,audit_assisted_probe,145,145,8,145,1.0,0,0,0
1000000000000000000,8,chain_fallback_exact_first_prime_in_chain,chain_fallback,145,145,8,145,1.0,0,0,0
1000000000000000000,10,stop_rule_1_first_chain_node,PGS_probe,145,145,8,69,0.47586206896551725,76,0,76
1000000000000000000,10,stop_rule_2_successor_gap_exceeds_prior_median,PGS_probe,145,145,8,51,0.35172413793103446,94,0,94
1000000000000000000,10,stop_rule_3_low_exact_boundary_delta,PGS_probe,145,145,8,69,0.47586206896551725,76,0,76
1000000000000000000,10,stop_rule_4_post_visible_open_density_drop,PGS_probe,145,145,8,51,0.35172413793103446,94,0,94
1000000000000000000,10,stop_rule_5_next_chain_node_outside_R64,PGS_probe,145,145,8,17,0.11724137931034483,128,0,128
1000000000000000000,10,stop_rule_6_best_ranker_b,PGS_probe,145,145,8,69,0.47586206896551725,76,0,76
1000000000000000000,10,stop_rule_7_best_ranker_c,PGS_probe,145,145,8,14,0.09655172413793103,131,0,131
1000000000000000000,10,stop_rule_8_after_final_semiprime_gt_horizon_audit_only,audit_assisted_probe,145,145,8,145,1.0,0,0,0
1000000000000000000,10,chain_fallback_exact_first_prime_in_chain,chain_fallback,145,145,8,145,1.0,0,0,0
1000000000000000000,12,stop_rule_1_first_chain_node,PGS_probe,145,145,8,69,0.47586206896551725,76,0,76
1000000000000000000,12,stop_rule_2_successor_gap_exceeds_prior_median,PGS_probe,145,145,8,51,0.35172413793103446,94,0,94
1000000000000000000,12,stop_rule_3_low_exact_boundary_delta,PGS_probe,145,145,8,69,0.47586206896551725,76,0,76
1000000000000000000,12,stop_rule_4_post_visible_open_density_drop,PGS_probe,145,145,8,51,0.35172413793103446,94,0,94
1000000000000000000,12,stop_rule_5_next_chain_node_outside_R64,PGS_probe,145,145,8,17,0.11724137931034483,128,0,128
1000000000000000000,12,stop_rule_6_best_ranker_b,PGS_probe,145,145,8,69,0.47586206896551725,76,0,76
1000000000000000000,12,stop_rule_7_best_ranker_c,PGS_probe,145,145,8,14,0.09655172413793103,131,0,131
1000000000000000000,12,stop_rule_8_after_final_semiprime_gt_horizon_audit_only,audit_assisted_probe,145,145,8,145,1.0,0,0,0
1000000000000000000,12,chain_fallback_exact_first_prime_in_chain,chain_fallback,145,145,8,145,1.0,0,0,0
