scale,selector,anchor_p,seed_q0,true_q_for_audit_only,selected_q,selector_status,failure_mode
1000000000000,d4_nlsc_without_threat_or_margin,999999996473,999999996511,999999996581,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999996371,999999996419,999999996449,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999996371,999999996419,999999996449,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999996211,999999996217,999999996223,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999996211,999999996217,999999996223,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999996137,999999996173,999999996197,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999996137,999999996173,999999996197,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999996097,999999996133,999999996137,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999996097,999999996133,999999996137,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999995993,999999996011,999999996097,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999995993,999999996011,999999996097,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999995899,999999995909,999999995933,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999995899,999999995909,999999995933,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999995773,999999995837,999999995857,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999995773,999999995837,999999995857,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999995653,999999995681,999999995711,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999995653,999999995681,999999995711,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999995581,999999995591,999999995653,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999995581,999999995591,999999995653,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999995537,999999995539,999999995573,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999995537,999999995539,999999995573,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999995497,999999995521,999999995537,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999995497,999999995521,999999995537,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999995429,999999995441,999999995461,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999995429,999999995441,999999995461,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999995383,999999995389,999999995413,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999995383,999999995389,999999995413,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999995237,999999995257,999999995299,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999995237,999999995257,999999995299,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999995207,999999995233,999999995237,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999995207,999999995233,999999995237,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999995177,999999995201,999999995207,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999995177,999999995201,999999995207,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999995147,999999995149,999999995177,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999995147,999999995149,999999995177,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999995131,999999995143,999999995147,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999995131,999999995143,999999995147,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999994909,999999994919,999999994937,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999994909,999999994919,999999994937,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999994897,999999994907,999999994909,,InsufficientBoundarySelectorStateError,no_selection
