scale,rule_id,anchor_p,seed_q0,true_q_for_audit_only,selected_q,selected_delta_from_true,failure_mode,run_length,failure_reason,residue_exhausted,open_witness_count,closed_witness_count,materialized_witness_count
1000000000000000,M3_witness_run_odd,999999999991823,999999999991831,999999999991847,,,no_selection,8,no_unmarked_candidate_in_materialized_stream,False,4,2,5
1000000000000000,M4_witness_run_odd_resclosed,999999999991823,999999999991831,999999999991847,,,no_selection,8,no_unmarked_candidate_in_materialized_stream,False,4,2,5
1000000000000000,M1_visible_run_all,999999999991871,999999999991873,999999999991961,999999999991907,-54,selected_too_early,33,,False,17,8,18
1000000000000000,M2_visible_run_odd,999999999991871,999999999991873,999999999991961,999999999991907,-54,selected_too_early,16,,False,17,6,18
1000000000000000,M3_witness_run_odd,999999999991871,999999999991873,999999999991961,,,no_selection,44,no_unmarked_candidate_in_materialized_stream,False,17,10,18
1000000000000000,M4_witness_run_odd_resclosed,999999999991871,999999999991873,999999999991961,,,no_selection,44,no_unmarked_candidate_in_materialized_stream,False,17,10,18
1000000000000000,M1_visible_run_all,999999999991973,999999999992023,999999999992041,999999999992027,-14,selected_too_early,3,,False,4,1,6
1000000000000000,M2_visible_run_odd,999999999991973,999999999992023,999999999992041,999999999992027,-14,selected_too_early,1,,False,4,0,6
1000000000000000,M3_witness_run_odd,999999999991973,999999999992023,999999999992041,,,no_selection,9,no_unmarked_candidate_in_materialized_stream,False,4,1,6
1000000000000000,M4_witness_run_odd_resclosed,999999999991973,999999999992023,999999999992041,,,no_selection,9,no_unmarked_candidate_in_materialized_stream,False,4,1,6
1000000000000000,M1_visible_run_all,999999999992057,999999999992113,999999999992143,999999999992143,0,correct,29,,False,8,6,10
1000000000000000,M2_visible_run_odd,999999999992057,999999999992113,999999999992143,999999999992143,0,correct,14,,False,8,4,10
1000000000000000,M3_witness_run_odd,999999999992057,999999999992113,999999999992143,,,no_selection,15,no_unmarked_candidate_in_materialized_stream,False,8,4,10
1000000000000000,M4_witness_run_odd_resclosed,999999999992057,999999999992113,999999999992143,,,no_selection,15,no_unmarked_candidate_in_materialized_stream,False,8,4,10
1000000000000000,M1_visible_run_all,999999999992143,999999999992177,999999999992197,999999999992197,0,correct,19,,False,6,5,7
1000000000000000,M2_visible_run_odd,999999999992143,999999999992177,999999999992197,999999999992197,0,correct,9,,False,6,5,7
1000000000000000,M3_witness_run_odd,999999999992143,999999999992177,999999999992197,,,no_selection,10,no_unmarked_candidate_in_materialized_stream,False,6,5,7
1000000000000000,M4_witness_run_odd_resclosed,999999999992143,999999999992177,999999999992197,,,no_selection,10,no_unmarked_candidate_in_materialized_stream,False,6,5,7
1000000000000000,M1_visible_run_all,999999999992281,999999999992327,999999999992339,999999999992333,-6,selected_too_early,5,,True,3,3,4
1000000000000000,M2_visible_run_odd,999999999992281,999999999992327,999999999992339,999999999992333,-6,selected_too_early,2,,False,3,2,4
1000000000000000,M3_witness_run_odd,999999999992281,999999999992327,999999999992339,,,no_selection,6,no_unmarked_candidate_in_materialized_stream,True,3,3,4
1000000000000000,M4_witness_run_odd_resclosed,999999999992281,999999999992327,999999999992339,,,no_selection,6,no_unmarked_candidate_in_materialized_stream,True,3,3,4
1000000000000000,M1_visible_run_all,999999999992339,999999999992351,999999999992353,999999999992353,0,correct,1,,True,0,0,1
1000000000000000,M2_visible_run_odd,999999999992339,999999999992351,999999999992353,,,no_selection,0,first_candidate_unmarked,False,1,0,1
1000000000000000,M3_witness_run_odd,999999999992339,999999999992351,999999999992353,,,no_selection,1,no_unmarked_candidate_in_materialized_stream,True,0,0,1
1000000000000000,M4_witness_run_odd_resclosed,999999999992339,999999999992351,999999999992353,,,no_selection,1,no_unmarked_candidate_in_materialized_stream,True,0,0,1
1000000000000000,M1_visible_run_all,999999999992401,999999999992407,999999999992429,999999999992429,0,correct,21,,False,6,4,8
1000000000000000,M2_visible_run_odd,999999999992401,999999999992407,999999999992429,999999999992429,0,correct,10,,False,6,3,8
1000000000000000,M3_witness_run_odd,999999999992401,999999999992407,999999999992429,,,no_selection,11,no_unmarked_candidate_in_materialized_stream,False,6,3,8
1000000000000000,M4_witness_run_odd_resclosed,999999999992401,999999999992407,999999999992429,,,no_selection,11,no_unmarked_candidate_in_materialized_stream,False,6,3,8
1000000000000000,M1_visible_run_all,999999999992659,999999999992663,999999999992687,999999999992687,0,correct,23,,False,7,5,8
1000000000000000,M2_visible_run_odd,999999999992659,999999999992663,999999999992687,999999999992687,0,correct,11,,False,7,3,8
1000000000000000,M3_witness_run_odd,999999999992659,999999999992663,999999999992687,,,no_selection,12,no_unmarked_candidate_in_materialized_stream,False,7,3,8
1000000000000000,M4_witness_run_odd_resclosed,999999999992659,999999999992663,999999999992687,,,no_selection,12,no_unmarked_candidate_in_materialized_stream,False,7,3,8
1000000000000000,M1_visible_run_all,999999999992921,999999999992951,999999999992999,999999999992999,0,correct,47,,False,11,7,14
1000000000000000,M2_visible_run_odd,999999999992921,999999999992951,999999999992999,999999999992999,0,correct,23,,False,11,7,14
1000000000000000,M3_witness_run_odd,999999999992921,999999999992951,999999999992999,,,no_selection,24,no_unmarked_candidate_in_materialized_stream,False,11,7,14
