scale,window_mode,interval_lo,interval_hi,p,w,q,gap_size,winner_offset,q_offset,winner_d,S_plus_w,square_threat_distance,margin,closure_utilization,log_score_w
100000000000000000,even,2,2000002,17137,17141,17159,22,4,22,4,17161,20,2,0.9,-9.749228533507058
1000000000000000000,even,2,2000002,17137,17141,17159,22,4,22,4,17161,20,2,0.9,-9.749228533507058
100000000,even,2,2000002,1708229,1708231,1708247,18,2,18,4,1708249,18,2,0.8888888888888888,-14.350968890087389
100000000,even,2,2000002,1985257,1985263,1985279,22,6,22,4,1985281,18,2,0.8888888888888888,-14.501261957029683
1000000000,even,2,2000002,1708229,1708231,1708247,18,2,18,4,1708249,18,2,0.8888888888888888,-14.350968890087389
1000000000,even,2,2000002,1985257,1985263,1985279,22,6,22,4,1985281,18,2,0.8888888888888888,-14.501261957029683
10000000000,even,2,2000002,1708229,1708231,1708247,18,2,18,4,1708249,18,2,0.8888888888888888,-14.350968890087389
10000000000,even,2,2000002,1985257,1985263,1985279,22,6,22,4,1985281,18,2,0.8888888888888888,-14.501261957029683
100000000000,even,2,2000002,1708229,1708231,1708247,18,2,18,4,1708249,18,2,0.8888888888888888,-14.350968890087389
100000000000,even,2,2000002,1985257,1985263,1985279,22,6,22,4,1985281,18,2,0.8888888888888888,-14.501261957029683
1000000000000,even,2,2000002,1708229,1708231,1708247,18,2,18,4,1708249,18,2,0.8888888888888888,-14.350968890087389
1000000000000,even,2,2000002,1985257,1985263,1985279,22,6,22,4,1985281,18,2,0.8888888888888888,-14.501261957029683
10000000000000,even,2,2000002,1708229,1708231,1708247,18,2,18,4,1708249,18,2,0.8888888888888888,-14.350968890087389
10000000000000,even,2,2000002,1985257,1985263,1985279,22,6,22,4,1985281,18,2,0.8888888888888888,-14.501261957029683
100000000000000,even,2,2000002,1708229,1708231,1708247,18,2,18,4,1708249,18,2,0.8888888888888888,-14.350968890087389
100000000000000,even,2,2000002,1985257,1985263,1985279,22,6,22,4,1985281,18,2,0.8888888888888888,-14.501261957029683
1000000000000000,even,2,2000002,1708229,1708231,1708247,18,2,18,4,1708249,18,2,0.8888888888888888,-14.350968890087389
1000000000000000,even,2,2000002,1985257,1985263,1985279,22,6,22,4,1985281,18,2,0.8888888888888888,-14.501261957029683
10000000000000000,even,2,2000002,1708229,1708231,1708247,18,2,18,4,1708249,18,2,0.8888888888888888,-14.350968890087389
10000000000000000,even,2,2000002,1985257,1985263,1985279,22,6,22,4,1985281,18,2,0.8888888888888888,-14.501261957029683
100000000000000000,even,2,2000002,1708229,1708231,1708247,18,2,18,4,1708249,18,2,0.8888888888888888,-14.350968890087389
100000000000000000,even,2,2000002,1985257,1985263,1985279,22,6,22,4,1985281,18,2,0.8888888888888888,-14.501261957029683
1000000000000000000,even,2,2000002,1708229,1708231,1708247,18,2,18,4,1708249,18,2,0.8888888888888888,-14.350968890087389
1000000000000000000,even,2,2000002,1985257,1985263,1985279,22,6,22,4,1985281,18,2,0.8888888888888888,-14.501261957029683
1000000,exact,2,1000001,1831,1835,1847,16,4,16,4,1849,14,2,0.8571428571428571,-7.51479976048867
1000000,exact,2,1000001,5023,5027,5039,16,4,16,4,5041,14,2,0.8571428571428571,-8.522578663692576
1000000,exact,2,1000001,177223,177227,177239,16,4,16,4,177241,14,2,0.8571428571428571,-12.085186675749117
1000000,exact,2,1000001,776143,776147,776159,16,4,16,4,776161,14,2,0.8571428571428571,-13.562097214214884
100000000,even,2,2000002,1831,1835,1847,16,4,16,4,1849,14,2,0.8571428571428571,-7.51479976048867
100000000,even,2,2000002,5023,5027,5039,16,4,16,4,5041,14,2,0.8571428571428571,-8.522578663692576
100000000,even,2,2000002,177223,177227,177239,16,4,16,4,177241,14,2,0.8571428571428571,-12.085186675749117
100000000,even,2,2000002,776143,776147,776159,16,4,16,4,776161,14,2,0.8571428571428571,-13.562097214214884
100000000,even,2,2000002,1661503,1661507,1661519,16,4,16,4,1661521,14,2,0.8571428571428571,-14.323235579828399
100000000,even,2,2000002,1745011,1745027,1745039,28,16,28,4,1745041,14,2,0.8571428571428571,-14.372280586278332
1000000000,even,2,2000002,1831,1835,1847,16,4,16,4,1849,14,2,0.8571428571428571,-7.51479976048867
1000000000,even,2,2000002,5023,5027,5039,16,4,16,4,5041,14,2,0.8571428571428571,-8.522578663692576
1000000000,even,2,2000002,177223,177227,177239,16,4,16,4,177241,14,2,0.8571428571428571,-12.085186675749117
1000000000,even,2,2000002,776143,776147,776159,16,4,16,4,776161,14,2,0.8571428571428571,-13.562097214214884
1000000000,even,2,2000002,1661503,1661507,1661519,16,4,16,4,1661521,14,2,0.8571428571428571,-14.323235579828399
1000000000,even,2,2000002,1745011,1745027,1745039,28,16,28,4,1745041,14,2,0.8571428571428571,-14.372280586278332
10000000000,even,2,2000002,1831,1835,1847,16,4,16,4,1849,14,2,0.8571428571428571,-7.51479976048867
10000000000,even,2,2000002,5023,5027,5039,16,4,16,4,5041,14,2,0.8571428571428571,-8.522578663692576
10000000000,even,2,2000002,177223,177227,177239,16,4,16,4,177241,14,2,0.8571428571428571,-12.085186675749117
10000000000,even,2,2000002,776143,776147,776159,16,4,16,4,776161,14,2,0.8571428571428571,-13.562097214214884
10000000000,even,2,2000002,1661503,1661507,1661519,16,4,16,4,1661521,14,2,0.8571428571428571,-14.323235579828399
10000000000,even,2,2000002,1745011,1745027,1745039,28,16,28,4,1745041,14,2,0.8571428571428571,-14.372280586278332
100000000000,even,2,2000002,1831,1835,1847,16,4,16,4,1849,14,2,0.8571428571428571,-7.51479976048867
100000000000,even,2,2000002,5023,5027,5039,16,4,16,4,5041,14,2,0.8571428571428571,-8.522578663692576
100000000000,even,2,2000002,177223,177227,177239,16,4,16,4,177241,14,2,0.8571428571428571,-12.085186675749117
100000000000,even,2,2000002,776143,776147,776159,16,4,16,4,776161,14,2,0.8571428571428571,-13.562097214214884
100000000000,even,2,2000002,1661503,1661507,1661519,16,4,16,4,1661521,14,2,0.8571428571428571,-14.323235579828399
100000000000,even,2,2000002,1745011,1745027,1745039,28,16,28,4,1745041,14,2,0.8571428571428571,-14.372280586278332
1000000000000,even,2,2000002,1831,1835,1847,16,4,16,4,1849,14,2,0.8571428571428571,-7.51479976048867
1000000000000,even,2,2000002,5023,5027,5039,16,4,16,4,5041,14,2,0.8571428571428571,-8.522578663692576
1000000000000,even,2,2000002,177223,177227,177239,16,4,16,4,177241,14,2,0.8571428571428571,-12.085186675749117
1000000000000,even,2,2000002,776143,776147,776159,16,4,16,4,776161,14,2,0.8571428571428571,-13.562097214214884
1000000000000,even,2,2000002,1661503,1661507,1661519,16,4,16,4,1661521,14,2,0.8571428571428571,-14.323235579828399
1000000000000,even,2,2000002,1745011,1745027,1745039,28,16,28,4,1745041,14,2,0.8571428571428571,-14.372280586278332
10000000000000,even,2,2000002,1831,1835,1847,16,4,16,4,1849,14,2,0.8571428571428571,-7.51479976048867
10000000000000,even,2,2000002,5023,5027,5039,16,4,16,4,5041,14,2,0.8571428571428571,-8.522578663692576
10000000000000,even,2,2000002,177223,177227,177239,16,4,16,4,177241,14,2,0.8571428571428571,-12.085186675749117
10000000000000,even,2,2000002,776143,776147,776159,16,4,16,4,776161,14,2,0.8571428571428571,-13.562097214214884
10000000000000,even,2,2000002,1661503,1661507,1661519,16,4,16,4,1661521,14,2,0.8571428571428571,-14.323235579828399
10000000000000,even,2,2000002,1745011,1745027,1745039,28,16,28,4,1745041,14,2,0.8571428571428571,-14.372280586278332
100000000000000,even,2,2000002,1831,1835,1847,16,4,16,4,1849,14,2,0.8571428571428571,-7.51479976048867
100000000000000,even,2,2000002,5023,5027,5039,16,4,16,4,5041,14,2,0.8571428571428571,-8.522578663692576
100000000000000,even,2,2000002,177223,177227,177239,16,4,16,4,177241,14,2,0.8571428571428571,-12.085186675749117
100000000000000,even,2,2000002,776143,776147,776159,16,4,16,4,776161,14,2,0.8571428571428571,-13.562097214214884
100000000000000,even,2,2000002,1661503,1661507,1661519,16,4,16,4,1661521,14,2,0.8571428571428571,-14.323235579828399
100000000000000,even,2,2000002,1745011,1745027,1745039,28,16,28,4,1745041,14,2,0.8571428571428571,-14.372280586278332
1000000000000000,even,2,2000002,1831,1835,1847,16,4,16,4,1849,14,2,0.8571428571428571,-7.51479976048867
1000000000000000,even,2,2000002,5023,5027,5039,16,4,16,4,5041,14,2,0.8571428571428571,-8.522578663692576
1000000000000000,even,2,2000002,177223,177227,177239,16,4,16,4,177241,14,2,0.8571428571428571,-12.085186675749117
1000000000000000,even,2,2000002,776143,776147,776159,16,4,16,4,776161,14,2,0.8571428571428571,-13.562097214214884
1000000000000000,even,2,2000002,1661503,1661507,1661519,16,4,16,4,1661521,14,2,0.8571428571428571,-14.323235579828399
1000000000000000,even,2,2000002,1745011,1745027,1745039,28,16,28,4,1745041,14,2,0.8571428571428571,-14.372280586278332
10000000000000000,even,2,2000002,1831,1835,1847,16,4,16,4,1849,14,2,0.8571428571428571,-7.51479976048867
10000000000000000,even,2,2000002,5023,5027,5039,16,4,16,4,5041,14,2,0.8571428571428571,-8.522578663692576
10000000000000000,even,2,2000002,177223,177227,177239,16,4,16,4,177241,14,2,0.8571428571428571,-12.085186675749117
10000000000000000,even,2,2000002,776143,776147,776159,16,4,16,4,776161,14,2,0.8571428571428571,-13.562097214214884
10000000000000000,even,2,2000002,1661503,1661507,1661519,16,4,16,4,1661521,14,2,0.8571428571428571,-14.323235579828399
10000000000000000,even,2,2000002,1745011,1745027,1745039,28,16,28,4,1745041,14,2,0.8571428571428571,-14.372280586278332
