scale,anchor_p,seed_q0,recovered_q_for_audit_only,candidate_n,candidate_visible_ordinal,candidate_offset_from_anchor,candidate_offset_from_seed,is_recovered_q_for_audit_only,prior_visible_open_count_including_seed,distance_open_prior_count_including_seed,distance_closed_prior_count_including_seed,seed_distance_closure_reason
1000000000000,999999997679,999999997699,999999997721,999999997757,4,78,58,False,4,0,4,wheel_closed_residue:28
1000000000000,999999997679,999999997699,999999997721,999999997771,5,92,72,False,5,0,5,wheel_closed_residue:12
1000000000000,999999997679,999999997699,999999997721,999999997793,6,114,94,False,6,0,6,wheel_closed_residue:4
1000000000000,999999997589,999999997597,999999997603,999999997603,1,14,6,True,1,0,1,wheel_closed_residue:6
1000000000000,999999997589,999999997597,999999997603,999999997621,2,32,24,False,2,0,2,wheel_closed_residue:24
1000000000000,999999997589,999999997597,999999997603,999999997679,3,90,82,False,3,0,3,wheel_closed_residue:22
1000000000000,999999997589,999999997597,999999997603,999999997699,4,110,102,False,4,0,4,wheel_closed_residue:12
1000000000000,999999997517,999999997553,999999997589,999999997567,1,50,14,False,1,0,1,wheel_closed_residue:14
1000000000000,999999997517,999999997553,999999997589,999999997589,2,72,36,True,2,0,2,wheel_closed_residue:6
1000000000000,999999997517,999999997553,999999997589,999999997597,3,80,44,False,3,0,3,wheel_closed_residue:14
1000000000000,999999997517,999999997553,999999997589,999999997603,4,86,50,False,4,0,4,wheel_closed_residue:20
1000000000000,999999997517,999999997553,999999997589,999999997621,5,104,68,False,5,0,5,wheel_closed_residue:8
1000000000000,999999997459,999999997463,999999997517,999999997487,1,28,24,False,1,0,1,wheel_closed_residue:24
1000000000000,999999997459,999999997463,999999997517,999999997501,2,42,38,False,2,0,2,wheel_closed_residue:8
1000000000000,999999997459,999999997463,999999997517,999999997511,3,52,48,False,3,0,3,wheel_closed_residue:18
1000000000000,999999997459,999999997463,999999997517,999999997517,4,58,54,True,4,0,4,wheel_closed_residue:24
1000000000000,999999997459,999999997463,999999997517,999999997553,5,94,90,False,5,0,5,wheel_closed_residue:0
1000000000000,999999997459,999999997463,999999997517,999999997567,6,108,104,False,6,0,6,wheel_closed_residue:14
1000000000000,999999997433,999999997439,999999997459,999999997453,1,20,14,False,1,0,1,wheel_closed_residue:14
1000000000000,999999997433,999999997439,999999997459,999999997459,2,26,20,True,2,0,2,wheel_closed_residue:20
1000000000000,999999997433,999999997439,999999997459,999999997463,3,30,24,False,3,0,3,wheel_closed_residue:24
1000000000000,999999997433,999999997439,999999997459,999999997487,4,54,48,False,4,0,4,wheel_closed_residue:18
1000000000000,999999997433,999999997439,999999997459,999999997501,5,68,62,False,5,0,5,wheel_closed_residue:2
1000000000000,999999997433,999999997439,999999997459,999999997511,6,78,72,False,6,0,6,wheel_closed_residue:12
1000000000000,999999997433,999999997439,999999997459,999999997517,7,84,78,False,7,0,7,wheel_closed_residue:18
1000000000000,999999997433,999999997439,999999997459,999999997553,8,120,114,False,8,0,8,wheel_closed_residue:24
1000000000000,999999997397,999999997429,999999997433,999999997433,1,36,4,True,1,0,1,wheel_closed_residue:4
1000000000000,999999997397,999999997429,999999997433,999999997439,2,42,10,False,2,0,2,wheel_closed_residue:10
1000000000000,999999997397,999999997429,999999997433,999999997453,3,56,24,False,3,0,3,wheel_closed_residue:24
1000000000000,999999997397,999999997429,999999997433,999999997459,4,62,30,False,4,0,4,wheel_closed_residue:0
1000000000000,999999997397,999999997429,999999997433,999999997463,5,66,34,False,5,0,5,wheel_closed_residue:4
1000000000000,999999997397,999999997429,999999997433,999999997487,6,90,58,False,6,0,6,wheel_closed_residue:28
1000000000000,999999997397,999999997429,999999997433,999999997501,7,104,72,False,7,0,7,wheel_closed_residue:12
1000000000000,999999997397,999999997429,999999997433,999999997511,8,114,82,False,8,0,8,wheel_closed_residue:22
1000000000000,999999997397,999999997429,999999997433,999999997517,9,120,88,False,9,0,9,wheel_closed_residue:28
1000000000000,999999997391,999999997393,999999997397,999999997397,1,6,4,True,1,0,1,wheel_closed_residue:4
1000000000000,999999997391,999999997393,999999997397,999999997429,2,38,36,False,2,0,2,wheel_closed_residue:6
1000000000000,999999997391,999999997393,999999997397,999999997433,3,42,40,False,3,0,3,wheel_closed_residue:10
1000000000000,999999997391,999999997393,999999997397,999999997439,4,48,46,False,4,0,4,wheel_closed_residue:16
1000000000000,999999997391,999999997393,999999997397,999999997453,5,62,60,False,5,0,5,wheel_closed_residue:0
1000000000000,999999997391,999999997393,999999997397,999999997459,6,68,66,False,6,0,6,wheel_closed_residue:6
1000000000000,999999997391,999999997393,999999997397,999999997463,7,72,70,False,7,0,7,wheel_closed_residue:10
1000000000000,999999997391,999999997393,999999997397,999999997487,8,96,94,False,8,0,8,wheel_closed_residue:4
1000000000000,999999997391,999999997393,999999997397,999999997501,9,110,108,False,9,0,9,wheel_closed_residue:18
1000000000000,999999997391,999999997393,999999997397,999999997511,10,120,118,False,10,0,10,wheel_closed_residue:28
1000000000000,999999997391,999999997393,999999997397,999999997517,11,126,124,False,11,0,11,wheel_closed_residue:4
1000000000000,999999997343,999999997351,999999997391,999999997363,1,20,12,False,1,0,1,wheel_closed_residue:12
1000000000000,999999997343,999999997351,999999997391,999999997379,2,36,28,False,2,0,2,wheel_closed_residue:28
1000000000000,999999997343,999999997351,999999997391,999999997391,3,48,40,True,3,0,3,wheel_closed_residue:10
1000000000000,999999997343,999999997351,999999997391,999999997393,4,50,42,False,4,0,4,wheel_closed_residue:12
1000000000000,999999997343,999999997351,999999997391,999999997397,5,54,46,False,5,0,5,wheel_closed_residue:16
