scale,key_name,anchor_p,seed_q0,true_q_for_audit_only,selected_q,failure_mode
1000000000000000,K_seed_mods,999999999998563,999999999998579,999999999998581,999999999998593,selected_too_late
1000000000000000,K_seed_mods,999999999998533,999999999998537,999999999998563,,no_selection
1000000000000000,K_seed_mods,999999999998437,999999999998459,999999999998533,,no_selection
1000000000000000,K_seed_mods,999999999998411,999999999998423,999999999998437,999999999998431,selected_too_early
1000000000000000,K_seed_mods,999999999998353,999999999998369,999999999998383,999999999998371,selected_too_early
1000000000000000,K_seed_mods,999999999998267,999999999998269,999999999998353,,no_selection
1000000000000000,K_seed_mods,999999999998231,999999999998243,999999999998267,999999999998303,selected_too_late
1000000000000000,K_seed_mods,999999999998161,999999999998177,999999999998231,,no_selection
1000000000000000,K_seed_mods,999999999998141,999999999998143,999999999998161,,no_selection
1000000000000000,K_seed_mods,999999999998053,999999999998089,999999999998141,,no_selection
1000000000000000,K_seed_mods,999999999998039,999999999998047,999999999998053,,no_selection
1000000000000000,K_seed_mods,999999999998003,999999999998011,999999999998039,,no_selection
1000000000000000,K_seed_mods,999999999997969,999999999997981,999999999997993,,no_selection
1000000000000000,K_seed_mods,999999999997841,999999999997919,999999999997967,,no_selection
1000000000000000,K_seed_mods,999999999997771,999999999997781,999999999997811,,no_selection
1000000000000000,K_seed_mods,999999999997729,999999999997753,999999999997771,,no_selection
1000000000000000,K_seed_mods,999999999997699,999999999997711,999999999997729,,no_selection
1000000000000000,K_seed_mods,999999999997613,999999999997667,999999999997697,,no_selection
1000000000000000,K_seed_mods,999999999997573,999999999997577,999999999997613,999999999997613,correct
1000000000000000,K_seed_mods,999999999997517,999999999997543,999999999997573,,no_selection
1000000000000000,K_seed_mods,999999999997337,999999999997367,999999999997463,,no_selection
1000000000000000,K_seed_mods,999999999997307,999999999997321,999999999997337,,no_selection
1000000000000000,K_seed_mods,999999999997099,999999999997121,999999999997153,,no_selection
1000000000000000,K_seed_mods,999999999997043,999999999997049,999999999997087,,no_selection
1000000000000000,K_seed_mods,999999999997003,999999999997007,999999999997043,,no_selection
1000000000000000,K_seed_mods,999999999996869,999999999996871,999999999996983,,no_selection
1000000000000000,K_seed_mods,999999999996493,999999999996533,999999999996583,,no_selection
1000000000000000,K_seed_mods,999999999996313,999999999996359,999999999996409,,no_selection
1000000000000000,K_seed_mods,999999999996293,999999999996307,999999999996311,,no_selection
1000000000000000,K_seed_mods,999999999996181,999999999996199,999999999996253,,no_selection
1000000000000000,K_seed_mods,999999999996149,999999999996161,999999999996181,,no_selection
1000000000000000,K_seed_mods,999999999996083,999999999996089,999999999996149,999999999996149,correct
1000000000000000,K_seed_mods,999999999995879,999999999995897,999999999995911,,no_selection
1000000000000000,K_seed_mods,999999999995851,999999999995861,999999999995879,,no_selection
1000000000000000,K_seed_mods,999999999995743,999999999995761,999999999995797,,no_selection
1000000000000000,K_seed_mods,999999999995629,999999999995651,999999999995669,,no_selection
1000000000000000,K_seed_mods,999999999995587,999999999995593,999999999995627,999999999995609,selected_too_early
