scale,anchor_p,seed_q0,true_q_for_audit_only,terminal_delta_from_seed_for_audit_only,terminal_visible_index_for_audit_only,seed_offset_from_anchor,candidate_bound,visible_divisor_bound,carrier_d_probe_only,p_mod_30,p_mod_210,p_mod_2310,seed_mod_30,seed_mod_210,seed_mod_2310,visible_open_count_after_seed,visible_delta_vector,visible_delta_prefix_2,visible_delta_prefix_3,visible_delta_prefix_4,visible_delta_prefix_8,visible_gap_prefix_3,visible_gap_prefix_4,visible_gap_prefix_8,open_square_delta_from_seed,open_square_visible_count_before,candidate_bound_contains_terminal
1000000000000,999999997433,999999997439,999999997459,20,2,6,128,10000,,23,143,1823,29,149,1829,8,14.20.24.48.62.72.78.114,14.20,14.20.24,14.20.24.48,14.20.24.48.62.72.78.114,6.4.24,6.4.24.14,6.4.24.14.10.6.36,2002562,8,True
1000000000000,999999997397,999999997429,999999997433,4,1,32,128,10000,,17,107,1787,19,139,1819,9,4.10.24.30.34.58.72.82.88,4.10,4.10.24,4.10.24.30,4.10.24.30.34.58.72.82,6.14.6,6.14.6.4,6.14.6.4.24.14.10.6,2002572,9,True
1000000000000,999999997391,999999997393,999999997397,4,1,2,128,10000,,11,101,1781,13,103,1783,11,4.36.40.46.60.66.70.94.108.118.124,4.36,4.36.40,4.36.40.46,4.36.40.46.60.66.70.94,32.4.6,32.4.6.14,32.4.6.14.6.4.24.14,2002608,11,True
1000000000000,999999997343,999999997351,999999997391,40,3,8,128,10000,,23,53,1733,1,61,1741,11,12.28.40.42.46.78.82.88.102.108.112,12.28,12.28.40,12.28.40.42,12.28.40.42.46.78.82.88,16.12.2,16.12.2.4,16.12.2.4.32.4.6.14,2002650,11,True
1000000000000,999999997277,999999997307,999999997327,20,1,30,128,10000,,17,197,1667,17,17,1697,8,20.36.44.56.72.84.86.90,20.36,20.36.44,20.36.44.56,20.36.44.56.72.84.86.90,16.8.12,16.8.12.16,16.8.12.16.12.2.4,2002694,8,True
1000000000000,999999997201,999999997223,999999997259,36,2,22,128,10000,,1,121,1591,23,143,1613,5,30.36.54.84.104,30.36,30.36.54,30.36.54.84,30.36.54.84.104,6.18.30,6.18.30.20,6.18.30.20,2002778,5,True
1000000000000,999999997163,999999997189,999999997201,12,1,26,128,10000,,23,83,1553,19,109,1579,5,12.34.64.70.88,12.34,12.34.64,12.34.64.70,12.34.64.70.88,22.30.6,22.30.6.18,22.30.6.18,2002812,5,True
1000000000000,999999997147,999999997151,999999997163,12,1,4,128,10000,,7,67,1537,11,71,1541,6,12.38.50.72.102.108,12.38,12.38.50,12.38.50.72,12.38.50.72.102.108,26.12.22,26.12.22.30,26.12.22.30.6,2002850,6,True
1000000000000,999999997103,999999997121,999999997147,26,2,18,128,10000,,23,23,1493,11,41,1511,7,12.26.30.42.68.80.102,12.26,12.26.30,12.26.30.42,12.26.30.42.68.80.102,14.4.12,14.4.12.26,14.4.12.26.12.22,2002880,7,True
1000000000000,999999997013,999999997093,999999997103,10,2,80,128,10000,,23,143,1403,13,13,1483,4,6.10.28.40,6.10,6.10.28,6.10.28.40,6.10.28.40,4.18.12,4.18.12,4.18.12,2002908,4,True
1000000000000,999999996901,999999996949,999999996977,28,1,48,128,10000,,1,31,1291,19,79,1339,3,28.30.64,28.30,28.30.64,28.30.64,28.30.64,2.34,2.34,2.34,2003052,3,True
1000000000000,999999996881,999999996887,999999996889,2,1,6,128,10000,,11,11,1271,17,17,1277,6,2.12.14.62.90.92,2.12,2.12.14,2.12.14.62,2.12.14.62.90.92,10.2.48,10.2.48.28,10.2.48.28.2,2003114,6,True
1000000000000,999999996823,999999996833,999999996881,48,2,10,128,10000,,13,163,1213,23,173,1223,7,38.48.54.56.66.68.116,38.48,38.48.54,38.48.54.56,38.48.54.56.66.68.116,10.6.2,10.6.2.10,10.6.2.10.2.48,2003168,7,True
1000000000000,999999996701,999999996727,999999996739,12,1,26,128,10000,,11,41,1091,7,67,1117,4,12.42.54.96,12.42,12.42.54,12.42.54.96,12.42.54.96,30.12.42,30.12.42,30.12.42,2003274,4,True
1000000000000,999999996581,999999996599,999999996601,2,1,18,128,10000,,11,131,971,29,149,989,5,2.24.38.60.102,2.24,2.24.38,2.24.38.60,2.24.38.60.102,22.14.22,22.14.22.42,22.14.22.42,2003402,5,True
1000000000000,999999996473,999999996511,999999996581,70,2,38,128,10000,,23,23,863,1,61,901,4,22.70.88.90,22.70,22.70.88,22.70.88.90,22.70.88.90,48.18.2,48.18.2,48.18.2,2003490,4,True
1000000000000,999999996371,999999996419,999999996449,30,1,48,128,10000,,11,131,761,29,179,809,3,30.48.54,30.48,30.48.54,30.48.54,30.48.54,18.6,18.6,18.6,2003582,3,True
1000000000000,999999996211,999999996217,999999996223,6,1,6,128,10000,,1,181,601,7,187,607,4,6.60.94.106,6.60,6.60.94,6.60.94.106,6.60.94.106,54.34.12,54.34.12,54.34.12,2003784,4,True
1000000000000,999999996137,999999996173,999999996197,24,1,36,128,10000,,17,107,527,23,143,563,5,24.36.38.44.50,24.36,24.36.38,24.36.38.44,24.36.38.44.50,12.2.6,12.2.6.6,12.2.6.6,2003828,5,True
1000000000000,999999996097,999999996133,999999996137,4,1,36,128,10000,,7,67,487,13,103,523,7,4.40.64.76.78.84.90,4.40,4.40.64,4.40.64.76,4.40.64.76.78.84.90,36.24.12,36.24.12.2,36.24.12.2.6.6,2003868,7,True
1000000000000,999999995993,999999996011,999999996097,86,5,18,128,10000,,23,173,383,11,191,401,5,8.60.78.80.86,8.60,8.60.78,8.60.78.80,8.60.78.80.86,52.18.2,52.18.2.6,52.18.2.6,2003990,5,True
